Year;Lag1;Lag2;Lag3;Lag4;Lag5;Volume;Today;Direction
2001,00;0.381;-0.192;-2624,00;-1055,00;43105,00;11913,00;0.959;Up
2001,00;0.959;0.381;-0.192;-2624,00;-1055,00;12965,00;1032,00;Up
2001,00;1032,00;0.959;0.381;-0.192;-2624,00;14112,00;-0.623;Down
2001,00;-0.623;1032,00;0.959;0.381;-0.192;1276,00;0.614;Up
2001,00;0.614;-0.623;1032,00;0.959;0.381;12057,00;0.213;Up
2001,00;0.213;0.614;-0.623;1032,00;0.959;13491,00;1392,00;Up
2001,00;1392,00;0.213;0.614;-0.623;1032,00;1445,00;-0.403;Down
2001,00;-0.403;1392,00;0.213;0.614;-0.623;14078,00;0.027;Up
2001,00;0.027;-0.403;1392,00;0.213;0.614;1164,00;1303,00;Up
2001,00;1303,00;0.027;-0.403;1392,00;0.213;12326,00;0.287;Up
2001,00;0.287;1303,00;0.027;-0.403;1392,00;1309,00;-0.498;Down
2001,00;-0.498;0.287;1303,00;0.027;-0.403;1258,00;-0.189;Down
2001,00;-0.189;-0.498;0.287;1303,00;0.027;1098,00;0.68;Up
2001,00;0.68;-0.189;-0.498;0.287;1303,00;10531,00;0.701;Up
2001,00;0.701;0.68;-0.189;-0.498;0.287;11498,00;-0.562;Down
2001,00;-0.562;0.701;0.68;-0.189;-0.498;12953,00;0.546;Up
2001,00;0.546;-0.562;0.701;0.68;-0.189;11188,00;-1747,00;Down
2001,00;-1747,00;0.546;-0.562;0.701;0.68;10484,00;0.359;Up
2001,00;0.359;-1747,00;0.546;-0.562;0.701;1013,00;-0.151;Down
2001,00;-0.151;0.359;-1747,00;0.546;-0.562;10596,00;-0.841;Down
2001,00;-0.841;-0.151;0.359;-1747,00;0.546;11583,00;-0.623;Down
2001,00;-0.623;-0.841;-0.151;0.359;-1747,00;11072,00;-1334,00;Down
2001,00;-1334,00;-0.623;-0.841;-0.151;0.359;10755,00;1183,00;Up
2001,00;1183,00;-1334,00;-0.623;-0.841;-0.151;10391,00;-0.865;Down
2001,00;-0.865;1183,00;-1334,00;-0.623;-0.841;10752,00;-0.218;Down
2001,00;-0.218;-0.865;1183,00;-1334,00;-0.623;11503,00;0.812;Up
2001,00;0.812;-0.218;-0.865;1183,00;-1334,00;11537,00;-1891,00;Down
2001,00;-1891,00;0.812;-0.218;-0.865;1183,00;12572,00;-1736,00;Down
2001,00;-1736,00;-1891,00;0.812;-0.218;-0.865;11122,00;-1851,00;Down
2001,00;-1851,00;-1736,00;-1891,00;0.812;-0.218;12085,00;-0.195;Down
2001,00;-0.195;-1851,00;-1736,00;-1891,00;0.812;13659,00;-0.556;Down
2001,00;-0.556;-0.195;-1851,00;-1736,00;-1891,00;12313,00;1749,00;Up
2001,00;1749,00;-0.556;-0.195;-1851,00;-1736,00;11308,00;-0.766;Down
2001,00;-0.766;1749,00;-0.556;-0.195;-1851,00;11141,00;-1431,00;Down
2001,00;-1431,00;-0.766;1749,00;-0.556;-0.195;12253,00;0.104;Up
2001,00;0.104;-1431,00;-0.766;1749,00;-0.556;12949,00;-0.568;Down
2001,00;-0.568;0.104;-1431,00;-0.766;1749,00;1294,00;0.586;Up
2001,00;0.586;-0.568;0.104;-1431,00;-0.766;0.9292;0.998;Up
2001,00;0.998;0.586;-0.568;0.104;-1431,00;10918,00;0.645;Up
2001,00;0.645;0.998;0.586;-0.568;0.104;11322,00;0.226;Up
2001,00;0.226;0.645;0.998;0.586;-0.568;11141,00;-2476,00;Down
2001,00;-2476,00;0.226;0.645;0.998;0.586;10859,00;-4318,00;Down
2001,00;-4318,00;-2476,00;0.226;0.645;0.998;1229,00;1483,00;Up
2001,00;1483,00;-4318,00;-2476,00;0.226;0.645;13609,00;-2584,00;Down
2001,00;-2584,00;1483,00;-4318,00;-2476,00;0.226;13974,00;0.587;Up
2001,00;0.587;-2584,00;1483,00;-4318,00;-2476,00;12595,00;-1962,00;Down
2001,00;-1962,00;0.587;-2584,00;1483,00;-4318,00;154356,00;1763,00;Up
2001,00;1763,00;-1962,00;0.587;-2584,00;1483,00;11262,00;-2408,00;Down
2001,00;-2408,00;1763,00;-1962,00;0.587;-2584,00;12359,00;-1792,00;Down
2001,00;-1792,00;-2408,00;1763,00;-1962,00;0.587;13463,00;-0.406;Down
2001,00;-0.406;-1792,00;-2408,00;1763,00;-1962,00;172395,00;1991,00;Up
2001,00;1991,00;-0.406;-1792,00;-2408,00;1763,00;13649,00;1128,00;Up
2001,00;1128,00;1991,00;-0.406;-1792,00;-2408,00;1114,00;2557,00;Up
2001,00;2557,00;1128,00;1991,00;-0.406;-1792,00;13142,00;-2443,00;Down
2001,00;-2443,00;2557,00;1128,00;1991,00;-0.406;13334,00;-0.463;Down
2001,00;-0.463;-2443,00;2557,00;1128,00;1991,00;12345,00;1078,00;Up
2001,00;1078,00;-0.463;-2443,00;2557,00;1128,00;12808,00;-1246,00;Down
2001,00;-1246,00;1078,00;-0.463;-2443,00;2557,00;12549,00;-3439,00;Down
2001,00;-3439,00;-1246,00;1078,00;-0.463;-2443,00;13861,00;-0.29;Down
2001,00;-0.29;-3439,00;-1246,00;1078,00;-0.463;142559,00;4368,00;Up
2001,00;4368,00;-0.29;-3439,00;-1246,00;1078,00;1368,00;-1998,00;Down
2001,00;-1998,00;4368,00;-0.29;-3439,00;-1246,00;12668,00;0.812;Up
2001,00;0.812;-1998,00;4368,00;-0.29;-3439,00;10628,00;2707,00;Up
2001,00;2707,00;0.812;-1998,00;4368,00;-0.29;13496,00;-0.213;Down
2001,00;-0.213;2707,00;0.812;-1998,00;4368,00;12903,00;18629,00;Up
2001,00;18629,00;-0.213;2707,00;0.812;-1998,00;1102,00;-0.323;Down
2001,00;-0.323;18629,00;-0.213;2707,00;0.812;0.9139;1028,00;Up
2001,00;1028,00;-0.323;18629,00;-0.213;2707,00;11096,00;3889,00;Up
2001,00;3889,00;1028,00;-0.323;18629,00;-0.213;19189,00;1254,00;Up
2001,00;1254,00;3889,00;1028,00;-0.323;18629,00;14868,00;-0.854;Down
2001,00;-0.854;1254,00;3889,00;1028,00;-0.323;13387,00;-1498,00;Down
2001,00;-1498,00;-0.854;1254,00;3889,00;1028,00;10126,00;-1216,00;Down
2001,00;-1216,00;-1498,00;-0.854;1254,00;3889,00;12165,00;1594,00;Up
2001,00;1594,00;-1216,00;-1498,00;-0.854;1254,00;12036,00;0.47;Up
2001,00;0.47;1594,00;-1216,00;-1498,00;-0.854;13452,00;1501,00;Up
2001,00;1501,00;0.47;1594,00;-1216,00;-1498,00;10913,00;-0.287;Down
2001,00;-0.287;1501,00;0.47;1594,00;-1216,00;12668,00;1359,00;Up
2001,00;1359,00;-0.287;1501,00;0.47;1594,00;11813,00;0.078;Up
2001,00;0.078;1359,00;-0.287;1501,00;0.47;13422,00;-1487,00;Down
2001,00;-1487,00;0.078;1359,00;-0.287;1501,00;11379,00;1444,00;Up
2001,00;1444,00;-1487,00;0.078;1359,00;-0.287;10821,00;-0.245;Down
2001,00;-0.245;1444,00;-1487,00;0.078;1359,00;0.949;-0.183;Down
2001,00;-0.183;-0.245;1444,00;-1487,00;0.078;10063,00;-0.449;Down
2001,00;-0.449;-0.183;-0.245;1444,00;-1487,00;11324,00;-0.029;Down
2001,00;-0.029;-0.449;-0.183;-0.245;1444,00;10567,00;-0.758;Down
2001,00;-0.758;-0.029;-0.449;-0.183;-0.245;0.9062;0.261;Up
2001,00;0.261;-0.758;-0.029;-0.449;-0.183;0.8582;0.042;Up
2001,00;0.042;0.261;-0.758;-0.029;-0.449;10718,00;2845,00;Up
2001,00;2845,00;0.042;0.261;-0.758;-0.029;14053,00;0.272;Up
2001,00;0.272;2845,00;0.042;0.261;-0.758;13556,00;0.269;Up
2001,00;0.269;0.272;2845,00;0.042;0.261;11308,00;1615,00;Up
2001,00;1615,00;0.269;0.272;2845,00;0.042;11749,00;-0.263;Down
2001,00;-0.263;1615,00;0.269;0.272;2845,00;12604,00;-1553,00;Down
2001,00;-1553,00;-0.263;1615,00;0.269;0.272;11348,00;0.32;Up
2001,00;0.32;-1553,00;-0.263;1615,00;0.269;11007,00;-1182,00;Down
2001,00;-1182,00;0.32;-1553,00;-0.263;1615,00;0.8281;-0.779;Down
2001,00;-0.779;-1182,00;0.32;-1553,00;-0.263;1026,00;-1566,00;Down
2001,00;-1566,00;-0.779;-1182,00;0.32;-1553,00;11586,00;0.62;Up
2001,00;0.62;-1566,00;-0.779;-1182,00;0.32;12266,00;0.386;Up
2001,00;0.386;0.62;-1566,00;-0.779;-1182,00;1015,00;0.511;Up
2001,00;0.511;0.386;0.62;-1566,00;-0.779;0.8365;1299,00;Up
2001,00;1299,00;0.511;0.386;0.62;-1566,00;11168,00;-1055,00;Down
2001,00;-1055,00;1299,00;0.511;0.386;0.62;10619,00;0.546;Up
2001,00;0.546;-1055,00;1299,00;0.511;0.386;10896,00;-0.94;Down
2001,00;-0.94;0.546;-1055,00;1299,00;0.511;0.7262;-0.836;Down
2001,00;-0.836;-0.94;0.546;-1055,00;1299,00;0.8701;0.116;Up
2001,00;0.116;-0.836;-0.94;0.546;-1055,00;11365,00;-1135,00;Down
2001,00;-1135,00;0.116;-0.836;-0.94;0.546;10636,00;-1.75;Down
2001,00;-1.75;-1135,00;0.116;-0.836;-0.94;12429,00;-0.452;Down
2001,00;-0.452;-1.75;-1135,00;0.116;-0.836;163555,00;-0.488;Down
2001,00;-0.488;-0.452;-1.75;-1135,00;0.116;11116,00;0.343;Up
2001,00;0.343;-0.488;-0.452;-1.75;-1135,00;11849,00;0.871;Up
2001,00;0.871;0.343;-0.488;-0.452;-1.75;13501,00;1136,00;Up
2001,00;1136,00;0.871;0.343;-0.488;-0.452;154682,00;-0.945;Down
2001,00;-0.945;1136,00;0.871;0.343;-0.488;11892,00;-0.551;Down
2001,00;-0.551;-0.945;1136,00;0.871;0.343;10501,00;-0.151;Down
2001,00;-0.151;-0.551;-0.945;1136,00;0.871;11989,00;-0.468;Down
2001,00;-0.468;-0.151;-0.551;-0.945;1136,00;11621,00;1249,00;Up
2001,00;1249,00;-0.468;-0.151;-0.551;-0.945;13273,00;-0.148;Down
2001,00;-0.148;1249,00;-0.468;-0.151;-0.551;183236,00;1008,00;Up
2001,00;1008,00;-0.148;1249,00;-0.468;-0.151;11283,00;-0.184;Down
2001,00;-0.184;1008,00;-0.148;1249,00;-0.468;0.62211;-1232,00;Down
2001,00;-1232,00;-0.184;1008,00;-0.148;1249,00;0.9349;-2.35;Down
2001,00;-2.35;-1232,00;-0.184;1008,00;-0.148;10567,00;0.688;Up
2001,00;0.688;-2.35;-1232,00;-0.184;1008,00;10457,00;-1.44;Down
2001,00;-1.44;0.688;-2.35;-1232,00;-0.184;12638,00;-0.113;Down
2001,00;-0.113;-1.44;0.688;-2.35;-1232,00;13841,00;2369,00;Up
2001,00;2369,00;-0.113;-1.44;0.688;-2.35;1394,00;0.624;Up
2001,00;0.624;2369,00;-0.113;-1.44;0.688;11217,00;-1088,00;Down
2001,00;-1088,00;0.624;2369,00;-0.113;-1.44;10398,00;0.997;Up
2001,00;0.997;-1088,00;0.624;2369,00;-0.113;12381,00;-0.554;Down
2001,00;-0.554;0.997;-1088,00;0.624;2369,00;13163,00;0.605;Up
2001,00;0.605;-0.554;0.997;-1088,00;0.624;13435,00;-0.343;Down
2001,00;-0.343;0.605;-0.554;0.997;-1088,00;11709,00;-1637,00;Down
2001,00;-1637,00;-0.343;0.605;-0.554;0.997;0.9869;-1627,00;Down
2001,00;-1627,00;-1637,00;-0.343;0.605;-0.554;11987,00;1608,00;Up
2001,00;1608,00;-1627,00;-1637,00;-0.343;0.605;12807,00;1045,00;Up
2001,00;1045,00;1608,00;-1627,00;-1637,00;-0.343;12139,00;0.24;Up
2001,00;0.24;1045,00;1608,00;-1627,00;-1637,00;10153,00;-0.108;Down
2001,00;-0.108;0.24;1045,00;1608,00;-1627,00;0.9091;0.557;Up
2001,00;0.557;-0.108;0.24;1045,00;1608,00;11292,00;0.388;Up
2001,00;0.388;0.557;-0.108;0.24;1045,00;13403,00;0.396;Up
2001,00;0.396;0.388;0.557;-0.108;0.24;12183,00;-0.524;Down
2001,00;-0.524;0.396;0.388;0.557;-0.108;0.9399;-1142,00;Down
2001,00;-1142,00;-0.524;0.396;0.388;0.557;0.8117;0.327;Up
2001,00;0.327;-1142,00;-0.524;0.396;0.388;1012,00;-1733,00;Down
2001,00;-1733,00;0.327;-1142,00;-0.524;0.396;11246,00;-0.008;Down
2001,00;-0.008;-1733,00;0.327;-1142,00;-0.524;11042,00;0.569;Up
2001,00;0.569;-0.008;-1733,00;0.327;-1142,00;0.9609;0.095;Up
2001,00;0.095;0.569;-0.008;-1733,00;0.327;0.8376;-0.383;Down
2001,00;-0.383;0.095;0.569;-0.008;-1733,00;0.9646;-0.734;Down
2001,00;-0.734;-0.383;0.095;0.569;-0.008;10656,00;0.309;Up
2001,00;0.309;-0.734;-0.383;0.095;0.569;10554,00;-1666,00;Down
2001,00;-1666,00;0.309;-0.734;-0.383;0.095;0.9743;0.812;Up
2001,00;0.812;-1666,00;0.309;-0.734;-0.383;0.8971;-1208,00;Down
2001,00;-1208,00;0.812;-1666,00;0.309;-0.734;10416,00;0.696;Up
2001,00;0.696;-1208,00;0.812;-1666,00;0.309;11108,00;-0.276;Down
2001,00;-0.276;0.696;-1208,00;0.812;-1666,00;0.9862;1965,00;Up
2001,00;1965,00;-0.276;0.696;-1208,00;0.812;10436,00;-0.483;Down
2001,00;-0.483;1965,00;-0.276;0.696;-1208,00;0.8426;-1501,00;Down
2001,00;-1501,00;-0.483;1965,00;-0.276;0.696;0.9871;-1115,00;Down
2001,00;-1115,00;-1501,00;-0.483;1965,00;-0.276;0.9637;-1.7;Down
2001,00;-1.7;-1115,00;-1501,00;-0.483;1965,00;1157,00;0.403;Up
2001,00;0.403;-1.7;-1115,00;-1501,00;-0.483;0.9201;-0.056;Down
2001,00;-0.056;0.403;-1.7;-1115,00;-1501,00;11783,00;-0.106;Down
2001,00;-0.106;-0.056;0.403;-1.7;-1115,00;13845,00;-2239,00;Down
2001,00;-2239,00;-0.106;-0.056;0.403;-1.7;13597,00;-1864,00;Down
2001,00;-1864,00;-2239,00;-0.106;-0.056;0.403;14243,00;0.623;Up
2001,00;0.623;-1864,00;-2239,00;-0.106;-0.056;12766,00;-4922,00;Down
2001,00;-4922,00;0.623;-1864,00;-2239,00;-0.106;233083,00;-0.58;Down
2001,00;-0.58;-4922,00;0.623;-1864,00;-2239,00;165041,00;-1611,00;Down
2001,00;-1611,00;-0.58;-4922,00;0.623;-1864,00;212055,00;-3106,00;Down
2001,00;-3106,00;-1611,00;-0.58;-4922,00;0.623;20048,00;-1903,00;Down
2001,00;-1903,00;-3106,00;-1611,00;-0.58;-4922,00;23173,00;3898,00;Up
2001,00;3898,00;-1903,00;-3106,00;-1611,00;-0.58;17466,00;0.879;Up
2001,00;0.879;3898,00;-1903,00;-3106,00;-1611,00;16138,00;-0.517;Down
2001,00;-0.517;0.879;3898,00;-1903,00;-3106,00;15191,00;1149,00;Up
2001,00;1149,00;-0.517;0.879;3898,00;-1903,00;1467,00;2192,00;Up
2001,00;2192,00;1149,00;-0.517;0.879;3898,00;16315,00;-0.23;Down
2001,00;-0.23;2192,00;1149,00;-0.517;0.879;11756,00;1231,00;Up
2001,00;1231,00;-0.23;2192,00;1149,00;-0.517;12898,00;1993,00;Up
2001,00;1993,00;1231,00;-0.23;2192,00;1149,00;16506,00;-0.247;Down
2001,00;-0.247;1993,00;1231,00;-0.23;2192,00;16091,00;0.164;Up
2001,00;0.164;-0.247;1993,00;1231,00;-0.23;13017,00;-0.834;Down
2001,00;-0.834;0.164;-0.247;1993,00;1231,00;0.979;-0.536;Down
2001,00;-0.536;-0.834;0.164;-0.247;1993,00;12278,00;2294,00;Up
2001,00;2294,00;-0.536;-0.834;0.164;-0.247;13124,00;1521,00;Up
2001,00;1521,00;2294,00;-0.536;-0.834;0.164;170458,00;-0.527;Down
2001,00;-0.527;1521,00;2294,00;-0.536;-0.834;13314,00;-0.153;Down
2001,00;-0.153;-0.527;1521,00;2294,00;-0.536;10247,00;0.694;Up
2001,00;0.694;-0.153;-0.527;1521,00;2294,00;12105,00;-1863,00;Down
2001,00;-1863,00;0.694;-0.153;-0.527;1521,00;14522,00;-0.787;Down
2001,00;-0.787;-1863,00;0.694;-0.153;-0.527;12629,00;0.456;Up
2001,00;0.456;-0.787;-1863,00;0.694;-0.153;12949,00;19360,00;Up
2001,00;19360,00;0.456;-0.787;-1863,00;0.694;11057,00;-0.47;Down
2001,00;-0.47;19360,00;0.456;-0.787;-1863,00;13173,00;0.039;Up
2001,00;0.039;-0.47;19360,00;0.456;-0.787;13362,00;1372,00;Up
2001,00;1372,00;0.039;-0.47;19360,00;0.456;13644,00;0.411;Up
2001,00;0.411;1372,00;0.039;-0.47;19360,00;12445,00;-2382,00;Down
2001,00;-2382,00;0.411;1372,00;0.039;-0.47;11061,00;-1717,00;Down
2001,00;-1717,00;-2382,00;0.411;1372,00;0.039;12974,00;-0.001;Down
2001,00;-0.001;-1717,00;-2382,00;0.411;1372,00;13525,00;2295,00;Up
2001,00;2295,00;-0.001;-1717,00;-2382,00;0.411;13174,00;0.286;Up
2001,00;0.286;2295,00;-0.001;-1717,00;-2382,00;11219,00;1439,00;Up
2001,00;1439,00;0.286;2295,00;-0.001;-1717,00;12677,00;1453,00;Up
2001,00;1453,00;1439,00;0.286;2295,00;-0.001;1356,00;-0.273;Down
2001,00;-0.273;1453,00;1439,00;0.286;2295,00;14113,00;0.246;Up
2001,00;0.246;-0.273;1453,00;1439,00;0.286;15175,00;0.158;Up
2001,00;0.158;0.246;-0.273;1453,00;1439,00;10938,00;-0.177;Down
2001,00;-0.177;0.158;0.246;-0.273;1453,00;0.9916;1856,00;Up
2001,00;1856,00;-0.177;0.158;0.246;-0.273;13701,00;0.186;Up
2001,00;0.186;1856,00;-0.177;0.158;0.246;14434,00;0.09;Up
2001,00;0.09;0.186;1856,00;-0.177;0.158;14545,00;-0.314;Down
2001,00;-0.314;0.09;0.186;1856,00;-0.177;13374,00;43344,00;Up
2001,00;43344,00;-0.314;0.09;0.186;1856,00;13168,00;-0.73;Down
2001,00;-0.73;43344,00;-0.314;0.09;0.186;13302,00;-0.493;Down
2001,00;-0.493;-0.73;43344,00;-0.314;0.09;10293,00;1171,00;Up
2001,00;1171,00;-0.493;-0.73;43344,00;-0.314;0.4103;0.615;Up
2001,00;0.615;1171,00;-0.493;-0.73;43344,00;11298,00;-0.684;Down
2001,00;-0.684;0.615;1171,00;-0.493;-0.73;1288,00;-1825,00;Down
2001,00;-1825,00;-0.684;0.615;1171,00;-0.493;14237,00;1035,00;Up
2001,00;1035,00;-1825,00;-0.684;0.615;1171,00;13757,00;-0.066;Down
2001,00;-0.066;1035,00;-1825,00;-0.684;0.615;13436,00;-0.838;Down
2001,00;-0.838;-0.066;1035,00;-1825,00;-0.684;12029,00;1319,00;Up
2001,00;1319,00;-0.838;-0.066;1035,00;-1825,00;13185,00;2232,00;Up
2001,00;2232,00;1319,00;-0.838;-0.066;1035,00;17653,00;-0.278;Down
2001,00;-0.278;2232,00;1319,00;-0.838;-0.066;14879,00;-0.753;Down
2001,00;-0.753;-0.278;2232,00;1319,00;-0.838;12482,00;-1587,00;Down
2001,00;-1587,00;-0.753;-0.278;2232,00;1319,00;12187,00;-0.278;Down
2001,00;-0.278;-1587,00;-0.753;-0.278;2232,00;13672,00;0.027;Up
2001,00;0.027;-0.278;-1587,00;-0.753;-0.278;14497,00;-1556,00;Down
2001,00;-1556,00;0.027;-0.278;-1587,00;-0.753;15115,00;0.331;Up
2001,00;0.331;-1556,00;0.027;-0.278;-1587,00;13068,00;1003,00;Up
2001,00;1003,00;0.331;-1556,00;0.027;-0.278;12604,00;0.755;Up
2001,00;0.755;1003,00;0.331;-1556,00;0.027;1354,00;0.581;Up
2001,00;0.581;0.755;1003,00;0.331;-1556,00;14849,00;-0.838;Down
2001,00;-0.838;0.581;0.755;1003,00;0.331;14905,00;0.435;Up
2001,00;0.435;-0.838;0.581;0.755;1003,00;1694,00;-0.021;Down
2001,00;-0.021;0.435;-0.838;0.581;0.755;0.43967;0.412;Up
2001,00;0.412;-0.021;0.435;-0.838;0.581;0.7911;0.675;Up
2001,00;0.675;0.412;-0.021;0.435;-0.838;0.8763;0.336;Up
2001,00;0.336;0.675;0.412;-0.021;0.435;0.9174;-1115,00;Down
2002,00;-1115,00;0.336;0.675;0.412;-0.021;0.9436;0.574;Up
2002,00;0.574;-1115,00;0.336;0.675;0.412;1171,00;0.918;Up
2002,00;0.918;0.574;-1115,00;0.336;0.675;13989,00;0.621;Up
2002,00;0.621;0.918;0.574;-1115,00;0.336;1513,00;-0.65;Down
2002,00;-0.65;0.621;0.918;0.574;-1115,00;13083,00;-0.359;Down
2002,00;-0.359;-0.65;0.621;0.918;0.574;12588,00;-0.48;Down
2002,00;-0.48;-0.359;-0.65;0.621;0.918;1452,00;0.122;Up
2002,00;0.122;-0.48;-0.359;-0.65;0.621;1299,00;-0.947;Down
2002,00;-0.947;0.122;-0.48;-0.359;-0.65;12119,00;-0.628;Down
2002,00;-0.628;-0.947;0.122;-0.48;-0.359;12864,00;0.683;Up
2002,00;0.683;-0.628;-0.947;0.122;-0.48;13869,00;-1625,00;Down
2002,00;-1625,00;0.683;-0.628;-0.947;0.122;14825,00;1003,00;Up
2002,00;1003,00;-1625,00;0.683;-0.628;-0.947;13801,00;-0.992;Down
2002,00;-0.992;1003,00;-1625,00;0.683;-0.628;13333,00;-0.733;Down
2002,00;-0.733;-0.992;1003,00;-1625,00;0.683;13116,00;0.792;Up
2002,00;0.792;-0.733;-0.992;1003,00;-1625,00;14792,00;0.352;Up
2002,00;0.352;0.792;-0.733;-0.992;1003,00;15528,00;0.1;Up
2002,00;0.1;0.352;0.792;-0.733;-0.992;13451,00;-0.019;Down
2002,00;-0.019;0.1;0.352;0.792;-0.733;11868,00;-2861,00;Down
2002,00;-2861,00;-0.019;0.1;0.352;0.792;1812,00;1175,00;Up
2002,00;1175,00;-2861,00;-0.019;0.1;0.352;20196,00;1493,00;Up
2002,00;1493,00;1175,00;-2861,00;-0.019;0.1;1557,00;-0.708;Down
2002,00;-0.708;1493,00;1175,00;-2861,00;-0.019;13672,00;-2474,00;Down
2002,00;-2474,00;-0.708;1493,00;1175,00;-2861,00;14376,00;-0.404;Down
2002,00;-0.404;-2474,00;-0.708;1493,00;1175,00;17783,00;-0.597;Down
2002,00;-0.597;-0.404;-2474,00;-0.708;1493,00;16658,00;-0.308;Down
2002,00;-0.308;-0.597;-0.404;-2474,00;-0.708;14416,00;1486,00;Up
2002,00;1486,00;-0.308;-0.597;-0.404;-2474,00;13719,00;1434,00;Up
2002,00;1434,00;1486,00;-0.308;-0.597;-0.404;11594,00;-0.399;Down
2002,00;-0.399;1434,00;1486,00;-0.308;-0.597;10942,00;0.994;Up
2002,00;0.994;-0.399;1434,00;1486,00;-0.308;12159,00;-0.181;Down
2002,00;-0.181;0.994;-0.399;1434,00;1486,00;12725,00;-1102,00;Down
2002,00;-1102,00;-0.181;0.994;-0.399;1434,00;13592,00;-1887,00;Down
2002,00;-1887,00;-1102,00;-0.181;0.994;-0.399;11899,00;1351,00;Up
2002,00;1351,00;-1887,00;-1102,00;-0.181;0.994;14389,00;-1551,00;Down
2002,00;-1551,00;1351,00;-1887,00;-1102,00;-0.181;13816,00;0.822;Up
2002,00;0.822;-1551,00;1351,00;-1887,00;-1102,00;1411,00;1798,00;Up
2002,00;1798,00;0.822;-1551,00;1351,00;-1887,00;13674,00;-0.005;Down
2002,00;-0.005;1798,00;0.822;-1551,00;1351,00;13092,00;0.046;Up
2002,00;0.046;-0.005;1798,00;0.822;-1551,00;13938,00;-0.285;Down
2002,00;-0.285;0.046;-0.005;1798,00;0.822;13922,00;2263,00;Up
2002,00;2263,00;-0.285;0.046;-0.005;1798,00;14565,00;1949,00;Up
2002,00;1949,00;2263,00;-0.285;0.046;-0.005;15943,00;-0.667;Down
2002,00;-0.667;1949,00;2263,00;-0.285;0.046;15493,00;1451,00;Up
2002,00;1451,00;-0.667;1949,00;2263,00;-0.285;15413,00;-0.45;Down
2002,00;-0.45;1451,00;-0.667;1949,00;2263,00;15174,00;0.585;Up
2002,00;0.585;-0.45;1451,00;-0.667;1949,00;1412,00;0.339;Up
2002,00;0.339;0.585;-0.45;1451,00;-0.667;12102,00;-0.229;Down
2002,00;-0.229;0.339;0.585;-0.45;1451,00;13044,00;-0.986;Down
2002,00;-0.986;-0.229;0.339;0.585;-0.45;1354,00;-0.091;Down
2002,00;-0.091;-0.986;-0.229;0.339;0.585;12088,00;1138,00;Up
2002,00;1138,00;-0.091;-0.986;-0.229;0.339;14939,00;-0.052;Down
2002,00;-0.052;1138,00;-0.091;-0.986;-0.229;11695,00;0.407;Up
2002,00;0.407;-0.052;1138,00;-0.091;-0.986;1255,00;-1576,00;Down
2002,00;-1576,00;0.407;-0.052;1138,00;-0.091;13049,00;0.151;Up
2002,00;0.151;-1576,00;0.407;-0.052;1138,00;13392,00;-0.424;Down
2002,00;-0.424;0.151;-1576,00;0.407;-0.052;12433,00;-1465,00;Down
2002,00;-1465,00;-0.424;0.151;-1576,00;0.407;10579,00;0.585;Up
2002,00;0.585;-1465,00;-0.424;0.151;-1576,00;12236,00;0.535;Up
2002,00;0.535;0.585;-1465,00;-0.424;0.151;11801,00;0.246;Up
2002,00;0.246;0.535;0.585;-1465,00;-0.424;11476,00;-0.074;Down
2002,00;-0.074;0.246;0.535;0.585;-1465,00;10509,00;-0.853;Down
2002,00;-0.853;-0.074;0.246;0.535;0.585;11767,00;-0.999;Down
2002,00;-0.999;-0.853;-0.074;0.246;0.535;12197,00;0.084;Up
